"NUMERO_U,SIT,NOME,CPF,RG,FONE1,BAIRRO,CIDADE,FONE2,EMAIL,CEP,LOGRADOURO,NUMERO,TIPO_P,DATA_NASC,DATA_CAD,SEXO,ESTADO"
"1,1,Roberto Hugo Anthony Cavalcanti,600.573.218-84,12.855.685-7,(82) 3528-6626,Tabuleiro do Martins,Maceió,(82) 99346-5825,robertohugoanthonycavalcanti..robertohugoanthonycavalcanti@fictor.com.br,57081-576,Rua Maria dos Santos,725,1,13/08/2003,23/02/2015,Masculino,AL"
"2,1,Gabriel Thomas Paulo Jesus,591.957.872-67,43.534.511-4,(51) 3697-5436,Centro,Alto Feliz,(51) 98647-1163,ggabrielthomaspaulojesus@maptec.com.br,95773-970,Avenida A. J. Renner 209,566,2,26/02/1970,23/02/1985,Masculino,RS"
"3,1,Thales Marcelo Almeida,439.250.890-04,16.172.293-3,(83) 2754-4615,João Américo de Almeida,João Pessoa,(83) 98789-1688,thalesmarceloalmeida-84@goldfinger.com.br,58074-635,Rua José Carlos da Silva,984,3,18/12/1967,01/04/1970,Masculino,PB"
"4,3,Betina Silvana Viana,550.342.021-74,19.655.398-2,(62) 2770-7392,Jardim Monte Sinai,Aparecida de Goiânia,(62) 98809-3205,betinasilvanaviana__betinasilvanaviana@mls.com.br,74971-510,Avenida Clarismar Batista,313,3,04/05/1973,27/05/1975,Feminino,GO"
"5,2,Lara Luana Joana,140.083.038-98,36.426.460-3,(86) 2762-5060,Memorare,Teresina,(86) 99300-9875,laraluanajoanaassuncao-70,64008-270,Rua Santar,888,2,18/09/1981,13/09/1994,Feminino,PI"
"6,3,Renata Priscila Lopes,281.380.166-63,49.433.741-2,(96) 3539-1066,Central,Macapá,(96) 98357-4697,rrenatapriscilalopes@said.adv.br,68900-115,Avenida Henrique Galvão,412,1,18/07/1990,27/05/1997,Feminino,AP"
"7,3,Nina Renata Antonella Porto,446.921.528-77,36.021.038-7,(62) 2837-8865,Jardim Olímpico,Aparecida de Goiânia,(62) 98921-1666,ninarenataantonellaporto__ninarenataantonellaporto@vetech.vet.br,74922-175,Praça Concórdia,725,1,24/07/1987,13/03/2000,Feminino,GO"
"8,2,Isadora Heloisa Fernandes,283.505.161-94,30.183.965-7,(22) 2655-2311,Riviera Fluminense,Macapá,(22) 99424-9014,isadoraheloisasoniafernandes..isadoraheloisasoniafernandes@aliancacadeiras.com.br,27937-120,Rua Padre Guilherme de Castro,393,1,18/02/1967,04/12/1970,Feminino,RIO DE JANEIRO"
"9,2,Sabrina Ayla da Rosa,496.646.750-08,23.019.352-3,(85) 3815-1766,Padre Andrade,Fortaleza,(85) 98113-0254,sabrinaayladarosa__sabrinaayladarosa@lynce.com.br,60356-392,Avenida Sargento Herma­no Sampaio,980,2,22/05/1943,25/12/1950,Feminino,CE"
"10,1,Laís Almeida,352.593.757-18,26.183.863-5,TIA (85) 2545-4483,Jangurussu,Fortaleza,MÃE (85) 98479-5931,laissoniaalmeida_@zaniniengenharia.com.br,60877-055,Rua Zildete da Costa,686,3,08/04/1975,29/11/2004,Feminino,CE"
